,esrb_rating,no_descriptors,strong_language,blood_and_gore,blood,mild_fantasy_violence,sexual_themes,intense_violence,strong_sexual_content,simulated_gambling,language
0,0,1,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,1,0,0,0
2,3,0,1,0,1,0,0,0,0,0,0
3,1,0,0,0,0,0,0,0,0,0,1
4,2,0,0,0,0,0,0,0,0,0,1
5,0,1,0,0,0,0,0,0,0,0,0
6,2,0,0,0,1,0,0,1,0,0,0
7,2,0,0,1,0,0,0,0,0,0,0
8,1,0,0,0,0,0,0,0,0,0,0
9,2,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0
11,3,0,1,0,1,0,0,1,0,0,0
12,1,0,0,0,0,0,0,1,1,0,0
13,3,0,1,0,0,0,0,0,0,0,0
14,3,0,1,1,0,0,0,0,0,0,1
15,3,0,1,1,0,0,0,1,0,0,0
16,2,0,0,0,0,0,0,0,0,0,0
17,1,0,0,0,0,0,0,0,0,0,0
18,3,0,0,1,0,0,0,1,1,0,0
19,2,0,0,0,0,0,0,0,0,0,0
20,2,0,0,0,0,0,0,0,0,0,0
21,2,0,0,0,0,0,0,0,0,0,0
22,2,0,0,0,0,0,0,0,0,0,0
23,2,0,0,0,1,0,0,1,0,0,0
24,1,0,0,0,0,0,0,0,0,0,0
25,0,1,0,0,0,0,0,0,0,0,0
26,1,0,0,0,0,0,0,0,0,0,1
27,0,1,0,0,0,0,0,0,0,0,0
28,2,0,0,0,0,0,0,0,0,0,0
29,3,0,1,0,1,0,1,0,0,0,0
30,0,1,0,0,0,0,0,0,0,0,0
31,0,1,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0
34,0,1,0,0,0,0,0,0,0,0,0
35,3,0,1,0,1,0,0,0,0,1,0
36,1,0,0,0,0,0,0,0,0,0,0
37,1,0,0,0,0,0,0,0,0,0,0
38,2,0,0,0,1,0,0,0,0,0,0
39,0,1,0,0,0,0,0,0,0,0,0
40,3,0,0,1,0,0,0,0,0,0,0
41,2,0,0,1,0,0,0,0,0,0,0
42,0,0,0,0,0,1,0,0,0,0,0
43,1,0,0,0,0,0,0,0,0,0,0
44,3,0,1,0,1,0,0,1,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0
46,2,0,0,0,0,0,0,0,0,0,0
47,2,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0
49,3,0,1,0,1,0,0,0,0,0,0
50,1,0,0,0,0,0,0,0,0,0,0
51,2,0,0,0,0,0,0,0,0,1,0
52,1,1,0,0,0,0,0,0,0,0,0
53,2,0,0,0,0,0,0,0,0,1,0
54,0,1,0,0,0,0,0,0,0,0,0
55,2,0,0,0,0,0,0,0,0,0,0
56,0,1,0,0,0,0,0,0,0,0,0
57,3,0,1,0,1,0,0,0,0,0,0
58,2,0,0,1,0,0,0,0,0,0,0
