,mild_blood,mild_fantasy_violence,mild_language,mild_suggestive_themes,mild_violence,no_descriptors,nudity,partial_nudity,sexual_content,sexual_themes,simulated_gambling,strong_language,suggestive_themes,use_of_alcohol,use_of_drugs_and_alcohol,esrb_rating
1441,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
938,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
735,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
121,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
901,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
156,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
1384,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1583,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
1367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1590,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
956,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
781,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
1153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
580,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1169,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
380,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
1329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
170,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1821,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2
1852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
173,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1563,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
739,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
1062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1182,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1429,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1095,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1574,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1552,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1610,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1457,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3
